,priority,sat,event,ignition,motion,rssi,di1,out1,io113,power,io24,battery,io68,adc1,io199,io16,combinedfuel,sequence,distance,totaldistance,valid,enginehours,result,io247,time
0,0,20,0,false,false,2,0,false,100,26.212,0,4.105,0,87,0,109935860,0,1,0,17076484.08,true,6611345,,,2023-11-01 00:10:03
1,0,20,0,false,false,2,0,false,100,26.19,0,4.105,0,87,0,109935860,0,2,0,17076484.08,true,6611345,,,2023-11-01 00:25:04
2,0,20,0,false,false,2,0,false,100,26.187,0,4.105,0,87,0,109935860,0,1,0,17076484.08,true,6611345,,,2023-11-01 00:40:05
3,0,21,0,false,false,2,0,false,100,26.172,0,4.105,0,87,0,109935860,0,2,0,17076484.08,true,6611345,,,2023-11-01 00:55:08
4,0,21,1,false,false,3,1,false,100,25.966,0,4.105,0,87,0,109935860,0,2,0,17076484.08,true,6611345,,,2023-11-01 01:06:05
5,0,21,239,true,true,3,1,false,100,25.91,0,4.105,0,87,0,109935860,0,1,0,17076484.08,true,6611345,,,2023-11-01 01:06:07
6,0,21,0,true,true,3,1,false,100,28.506,0,4.1,0,87,0,109935860,0,3,0,17076484.08,true,6611364,,,2023-11-01 01:06:26
7,0,20,1,true,true,3,0,false,100,28.534,0,4.108,0,87,0,109935860,0,4,0,17076484.08,true,6611368,,,2023-11-01 01:06:30
8,0,20,239,false,false,3,0,false,100,27.966,0,4.108,0,87,0,109935860,0,5,0,17076484.08,true,6611368,,,2023-11-01 01:06:31
9,0,21,1,false,false,3,1,false,100,26.909,0,4.105,0,87,0,109935860,0,6,0,17076484.08,true,6611368,,,2023-11-01 01:06:38
10,0,21,239,true,true,3,1,false,100,26.822,0,4.105,0,87,0,109935860,0,7,0,17076484.08,true,6611369,"013,00018621.994,0000000000000.0,00000.0,0000012604.5,00.0,00026.8,000,00.0,000,0003611959,0268,00000000.0,000551.0,1,Off,Not,Not",,2023-11-01 01:06:39
11,0,21,0,true,true,2,1,false,100,28.484,0,4.101,0,87,0,109935860,0,8,0,17076484.08,true,6611389,"014,00018621.900,0000000000000.0,00000.0,0000012604.5,00.0,00000.0,000,00.0,000,0003611962,0280,00000000.0,000550.0,1,Not,Not,Not",,2023-11-01 01:06:59
12,0,20,0,true,true,2,1,false,100,28.448,0,4.104,0,87,0,109935860,0,9,0,17076484.08,true,6611409,"013,00018621.900,0000000000000.0,00000.0,0000012604.5,75.2,00028.2,000,56.4,071,0003611982,0280,00000069.7,000551.0,0,Not,Not,Not,FFFDFFFF",,2023-11-01 01:07:19
13,0,21,0,true,true,2,1,false,100,28.574,5,4.105,0,87,21,109935886,0,10,16.79,17076500.87,true,6611429,"014,00018621.914,0000000000000.5,00000.0,0000012604.5,71.6,00028.1,004,56.4,070,0003612002,0336,00000070.7,000547.0,0,Not,Not,Not,FFFDFFFF",,2023-11-01 01:07:39
14,0,21,0,true,true,2,1,false,100,28.504,14,4.105,0,87,135,109936000,0,11,111.78,17076612.65,true,6611450,,,2023-11-01 01:08:00
15,0,20,0,true,true,2,1,false,100,28.48,19,4.105,0,87,253,109936118,0,10,197.91,17076698.78,true,6611470,,,2023-11-01 01:08:20
16,0,21,0,true,true,2,1,false,100,28.566,12,4.105,0,87,321,109936186,0,9,190.22,17076691.09,true,6611490,,,2023-11-01 01:08:40
17,0,21,0,true,true,2,1,false,100,28.51,0,4.105,0,87,360,109936225,0,8,228.37,17076729.24,true,6611510,,,2023-11-01 01:09:00
18,0,21,0,true,true,0,1,false,100,28.557,0,4.105,0,87,360,109936225,0,7,228.37,17076729.24,true,6611530,,,2023-11-01 01:09:20
19,0,21,0,true,true,0,1,false,100,28.543,0,4.105,0,87,360,109936225,0,6,228.37,17076729.24,true,6611550,,,2023-11-01 01:09:40
20,0,21,0,true,true,3,1,false,100,28.556,0,4.105,0,87,360,109936225,0,5,228.37,17076729.24,true,6611570,,,2023-11-01 01:10:00
21,0,21,0,true,true,3,1,false,100,28.571,0,4.105,0,87,360,109936225,0,4,228.37,17076729.24,true,6611590,,,2023-11-01 01:10:20
22,0,22,0,true,true,3,1,false,100,28.557,0,4.105,0,87,360,109936225,0,3,228.37,17076729.24,true,6611610,,,2023-11-01 01:10:40
23,0,21,0,true,true,0,1,false,0,28.56,0,0,0,87,0,109936225,0,2,228.77,17076729.64,true,6611656,,,2023-11-01 01:11:26
24,0,22,0,true,true,2,1,false,100,28.5,9,4.138,71,87,13,109936238,0,1,228.6,17076729.47,true,6611675,,,2023-11-01 01:11:45
25,0,21,0,true,true,2,1,false,100,28.44,40,4.148,52,87,209,109936434,0,12,194.59,17076924.06,true,6611699,"000,00018622.389,0000000000044.6,00000.0,0000012605.0,70.4,00028.3,016,59.2,076,0003612267,0492,00000076.6,001036.0,1,Not,Not,Not,42413938",,2023-11-01 01:12:09
26,0,20,0,true,true,2,1,false,100,28.495,19,4.116,0,87,374,109936599,0,13,159.47,17077083.53,true,6611719,"000,00018622.594,0000000000020.0,00000.0,0000012605.0,70.4,00028.1,015,58.8,077,0003612287,0356,00000077.3,000597.0,1,Not,Not,Not,42400000",,2023-11-01 01:12:29
