,Harsh Acceleration,Harsh Breaking,Battery level,vehicle distance,Torque,TCO Vehicle Speed,Fuel Rate Avg,Total Fuel consumption,Fuel Primary Tank,Battery Voltage,Transmission current gear,Catalyst tank level,coolant temperature,Engine on,Engine Oil Pressure,Oil Temperature,Engine speed,break pedal,Malfunction lamp status,Amber warning lamp status,Red stop lamp status,DTC,time
0,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 00:10:03
1,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 00:25:04
2,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 00:40:05
3,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 00:55:08
4,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:05
5,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:07
6,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:26
7,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:30
8,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:31
9,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:06:38
10,-,-,100 %,18621.99 Km,13 %,0 Km/h,1.48 Km/L,12604.5 L,0 %,26.8 VDC,000,0 %,0 °C,1493.11 H,2.68 BAR,0 °C,551 Rpm,On,Off,Not,Not,,2023-11-01 01:06:39
11,-,-,100 %,18621.9 Km,14 %,0 Km/h,1.48 Km/L,12604.5 L,0 %,0 VDC,000,0 %,0 °C,1493.11 H,2.8 BAR,0 °C,550 Rpm,On,Not,Not,Not,,2023-11-01 01:06:59
12,-,-,100 %,18621.9 Km,13 %,0 Km/h,1.48 Km/L,12604.5 L,75.2 %,28.2 VDC,000,56.4 %,71 °C,1493.12 H,2.8 BAR,69.7 °C,551 Rpm,Off,Not,Not,Not,DFFFF,2023-11-01 01:07:19
13,-,-,100 %,18621.91 Km,14 %,0.5 Km/h,1.48 Km/L,12604.5 L,71.6 %,28.1 VDC,004,56.4 %,70 °C,1493.12 H,3.36 BAR,70.7 °C,547 Rpm,Off,Not,Not,Not,DFFFF,2023-11-01 01:07:39
14,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:08:00
15,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:08:20
16,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:08:40
17,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:09:00
18,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:09:20
19,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:09:40
20,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:10:00
21,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:10:20
22,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:10:40
23,-,-,0 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:11:26
24,-,-,100 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023-11-01 01:11:45
25,-,-,100 %,18622.39 Km,0 %,44.6 Km/h,1.48 Km/L,12605 L,70.4 %,28.3 VDC,016,59.2 %,76 °C,1493.2 H,4.92 BAR,76.6 °C,1036 Rpm,On,Not,Not,Not,13938,2023-11-01 01:12:09
26,-,-,100 %,18622.59 Km,0 %,20 Km/h,1.48 Km/L,12605 L,70.4 %,28.1 VDC,015,58.8 %,77 °C,1493.2 H,3.56 BAR,77.3 °C,597 Rpm,On,Not,Not,Not,00000,2023-11-01 01:12:29
27,-,-,100 %,18622.73 Km,86 %,22 Km/h,1.48 Km/L,12605 L,70.8 %,28.2 VDC,012,58.8 %,77 °C,1493.21 H,4.8 BAR,77.6 °C,1108 Rpm,Off,Not,Not,Not,00003,2023-11-01 01:12:49
28,-,-,100 %,18622.83 Km,0 %,12.4 Km/h,1.48 Km/L,12605 L,72 %,28.2 VDC,011,59.2 %,78 °C,1493.21 H,3.4 BAR,78.2 °C,740 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:13:09
29,-,-,100 %,18622.88 Km,9 %,4 Km/h,1.48 Km/L,12605 L,73.6 %,28.2 VDC,0-2,58.4 %,79 °C,1493.22 H,5.32 BAR,79.2 °C,1267 Rpm,Off,Not,Not,Not,00000,2023-11-01 01:13:28
